Мастер-позиция;Номенклатура
"пневмотрещетка 3/8"" 36-55 нм до 0,61 кг до 140 мм";"Пневмотрещотка 3/8"" 50 Нм (5.1 кГм), укороченная, композитная"
ключ гаечный рожково-накидной   метрический 18 мм  200-219 мм;Ключ комбинированный, 18 мм
ключ гаечный рожково-накидной   метрический 18 мм  200-219 мм;Ключ комбинированный, 18 мм
"пневмотрещетка 1/4"" 36-55 нм до 0,61 кг до 140 мм";"Пневмотрещотка 1/4"" 45 Нм (4,6 кГм), укороченная, композитная"
ключ гаечный рожково-накидной   метрический 22 мм  220-250 мм;Ключ комбинированный, 22 мм
"пневмотрещетка 3/8"" 36-55 нм до 0,61 кг 141-180 мм";"Пневмотрещотка 3/8"" 45 Нм (4,6 кГм)"
"пневмотрещетка 1/4"" 36-55 нм до 0,61 кг 141-180 мм";"Пневмотрещотка 1/4"" 45 Нм (4,6 кГм)"
"пневмотрещетка 1/2"" 100-125 нм 1,5-2 кг 241-290 мм";"Пневмотрещотка 1/2"" 118 Нм (12 кГм)"
"пневмотрещетка 1/2"" 100-125 нм 1,5-2 кг 241-290 мм";Шланг 1/2
"пневмотрещетка 1/2"" 100-125 нм 1,5-2 кг 241-290 мм";"Пневмотрещотка 1/2"" 108 Нм (11 кГм)"
"пневмотрещетка 1/2"" 100-125 нм 1,5-2 кг 241-290 мм";"Пневмотрещотка 1/2"" 108 Нм (11 кГм)"
"приспособление удлинитель квадрат 1/2"" 1/2"" 200 мм";"Удлинитель ударный 1/2"" 200 мм"
